"","�..Gemeente","X11.Mar","X12.Mar","X13.Mar","X14.Mar","X15.Mar","X16.Mar","X17.Mar","X18.Mar","X19.Mar","X20.Mar","X21.Mar","X22.Mar","X23.Mar","X24.Mar","X25.Mar","X26.Mar","X27.Mar"
"309","Vlieland",0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0
"310","Vlissingen",0,2,2,2,2,3,4,4,5,NA,6,NA,8,8,8,8,8
"311","Voerendaal",0,0,0,0,0,0,1,3,3,NA,4,NA,4,5,6,7,7
"312","Voorschoten",0,0,0,0,0,0,0,1,1,NA,2,NA,3,3,5,6,6
"313","Voorst",1,1,1,1,1,1,1,1,1,NA,2,NA,2,3,6,10,13
"314","Vught",1,2,2,2,2,3,6,7,8,NA,11,NA,17,19,22,25,29
"315","Waadhoeke",0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,2,3
"316","Waalre",1,1,1,1,1,1,1,2,2,NA,2,NA,2,3,2,6,6
"317","Waalwijk",6,6,9,8,8,10,11,12,13,NA,16,NA,24,29,34,39,46
"318","Waddinxveen",1,1,1,1,1,1,1,1,3,NA,4,NA,4,4,5,6,7
"319","Wageningen",0,0,0,0,0,0,1,1,1,NA,3,NA,3,3,3,4,5
"320","Wassenaar",0,0,1,2,2,3,3,3,4,NA,5,NA,5,5,5,6,6
"321","Waterland",1,1,1,1,2,3,3,4,7,NA,8,NA,9,10,11,11,11
"322","Weert",0,0,0,0,0,0,0,0,0,NA,7,NA,12,17,24,28,27
"323","Weesp",0,0,0,0,0,0,0,0,0,NA,1,NA,1,2,6,7,8
"324","West Betuwe",2,2,3,3,3,3,6,6,8,NA,12,NA,15,17,19,22,24
"325","West Maas en Waal",1,2,2,2,3,3,3,3,3,NA,4,NA,7,8,11,13,13
"326","Westerkwartier",0,0,0,0,1,1,1,1,3,NA,3,NA,8,8,9,12,15
"327","Westerveld",0,0,0,0,0,0,0,0,0,NA,1,NA,2,2,2,2,3
"328","Westervoort",0,0,0,0,0,0,0,0,0,NA,1,NA,2,2,2,2,2
"329","Westerwolde",0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,3,3,3
"330","Westland",0,0,0,0,1,1,3,6,7,NA,11,NA,21,25,28,30,38
"331","Weststellingwerf",0,0,0,0,0,0,0,0,0,NA,1,NA,1,1,1,2,2
"332","Westvoorne",1,1,1,2,3,3,3,3,3,NA,3,NA,7,8,8,8,9
"333","Wierden",0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1,2,4
"334","Wijchen",1,2,3,2,4,5,6,8,8,NA,17,NA,21,23,24,30,30
"335","Wijdemeren",0,0,0,0,0,0,0,1,1,NA,1,NA,1,1,3,4,4
"336","Wijk bij Duurstede",1,2,2,3,3,3,4,4,4,NA,6,NA,6,6,6,7,7
"337","Winterswijk",0,0,0,0,0,0,0,0,0,NA,1,NA,2,2,2,2,3
"338","Woensdrecht",0,0,0,0,0,0,0,0,0,NA,0,NA,3,4,5,5,5
"339","Woerden",2,2,2,2,2,2,3,4,4,NA,6,NA,14,19,22,25,25
"340","Wormerland",0,0,0,0,0,0,0,0,1,NA,1,NA,2,2,3,5,6
"341","Woudenberg",1,1,1,1,1,1,1,2,2,NA,3,NA,4,4,6,7,6
"342","Zaanstad",2,2,2,2,2,2,2,2,4,NA,9,NA,19,20,29,31,46
"343","Zaltbommel",1,1,1,1,1,1,3,3,3,NA,5,NA,7,7,7,7,9
"344","Zandvoort",0,0,0,1,1,1,1,1,1,NA,2,NA,3,6,6,6,6
"345","Zeewolde",1,1,1,1,2,2,2,3,3,NA,4,NA,4,4,5,6,7
"346","Zeist",3,4,4,4,6,8,12,12,12,NA,17,NA,19,20,25,28,34
"347","Zevenaar",0,0,0,0,0,0,0,2,3,NA,6,NA,9,10,10,10,12
"348","Zoetermeer",0,0,0,0,0,0,0,1,1,NA,4,NA,7,8,13,14,17
"349","Zoeterwoude",0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,1,1,2
"350","Zuidplas",0,0,0,0,0,0,0,0,0,NA,1,NA,3,3,6,10,11
"351","Zundert",2,2,3,3,3,3,4,6,6,NA,7,NA,9,11,14,15,17
"352","Zutphen",0,0,0,0,0,0,1,1,1,NA,4,NA,6,6,8,8,10
"353","Zwartewaterland",0,0,2,2,2,2,4,4,5,NA,15,NA,19,22,30,33,36
"354","Zwijndrecht",0,0,0,2,3,3,4,5,6,NA,6,NA,6,8,9,11,13
"355","Zwolle",2,2,2,3,4,6,8,12,16,NA,23,NA,35,40,47,56,63
