"","�..Gemeente","X11.Mar","X12.Mar","X13.Mar","X14.Mar","X15.Mar","X16.Mar","X17.Mar","X18.Mar","X19.Mar","X20.Mar","X21.Mar","X22.Mar","X23.Mar","X24.Mar","X25.Mar","X26.Mar","X27.Mar","X28.Mar","X29.Mar"
"341","Woudenberg",1,1,1,1,1,1,1,2,2,3,3,3,4,4,6,7,6,6,7
"342","Zaanstad",2,2,2,2,2,2,2,2,4,3,9,11,19,20,29,31,46,50,56
"343","Zaltbommel",1,1,1,1,1,1,3,3,3,4,5,6,7,7,7,7,9,13,16
"344","Zandvoort",0,0,0,1,1,1,1,1,1,1,2,2,3,6,6,6,6,7,10
"345","Zeewolde",1,1,1,1,2,2,2,3,3,4,4,4,4,4,5,6,7,7,8
"346","Zeist",3,4,4,4,6,8,12,12,12,13,17,17,19,20,25,28,34,40,44
"347","Zevenaar",0,0,0,0,0,0,0,2,3,5,6,8,9,10,10,10,12,15,20
"348","Zoetermeer",0,0,0,0,0,0,0,1,1,4,4,5,7,8,13,14,17,21,26
"349","Zoeterwoude",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3
"350","Zuidplas",0,0,0,0,0,0,0,0,0,0,1,3,3,3,6,10,11,15,16
"351","Zundert",2,2,3,3,3,3,4,6,6,7,7,7,9,11,14,15,17,23,24
"352","Zutphen",0,0,0,0,0,0,1,1,1,2,4,4,6,6,8,8,10,11,15
"353","Zwartewaterland",0,0,2,2,2,2,4,4,5,9,15,17,19,22,30,33,36,38,43
"354","Zwijndrecht",0,0,0,2,3,3,4,5,6,6,6,6,6,8,9,11,13,13,15
"355","Zwolle",2,2,2,3,4,6,8,12,16,18,23,28,35,40,47,56,63,68,79
