"","X","Gemeente","X11.Mar","X12.Mar","X13.Mar","X14.Mar","X15.Mar","X16.Mar","X17.Mar","X18.Mar","X19.Mar","X20.Mar","X21.Mar","X22.Mar","X23.Mar","X24.Mar","X25.Mar","X26.Mar","X27.Mar","X28.Mar"
"194",194,"Midden-Drenthe",0,0,0,0,0,0,0,0,1,NA,1,NA,1,1,1,2,2,4
"195",195,"Midden-Groningen",0,0,0,0,1,1,1,2,2,NA,2,NA,2,2,2,5,5,6
"196",196,"Mill en Sint Hubert",0,0,0,0,1,1,1,1,2,NA,2,NA,2,5,5,5,7,9
"197",197,"Moerdijk",0,1,1,1,1,1,1,1,2,NA,3,NA,3,4,5,5,6,10
"198",198,"Molenlanden",0,0,0,0,1,2,3,7,9,NA,11,NA,11,13,16,16,17,18
"199",199,"Montferland",0,0,0,0,0,0,0,1,1,NA,1,NA,3,3,3,4,5,6
"200",200,"Montfoort",0,0,0,0,0,0,0,0,0,NA,0,NA,2,3,5,9,11,12
"201",201,"Mook en Middelaar",0,0,0,0,0,0,0,0,1,NA,1,NA,3,5,5,5,5,8
"202",202,"Neder-Betuwe",1,1,3,3,4,4,4,4,4,NA,5,NA,9,11,11,13,16,20
"203",203,"Nederweert",0,0,1,3,3,3,5,7,7,NA,7,NA,9,11,14,18,21,24
"204",204,"Nieuwegein",0,0,0,0,1,1,3,4,6,NA,9,NA,11,11,12,15,17,25
"205",205,"Nieuwkoop",0,0,1,1,1,1,1,1,1,NA,2,NA,3,4,6,6,7,8
"206",206,"Nijkerk",0,0,0,0,0,1,2,2,2,NA,4,NA,7,8,8,12,15,18
"207",207,"Nijmegen",4,6,8,9,12,17,31,41,48,NA,60,NA,79,93,108,122,132,149
"208",208,"Nissewaard",0,1,1,1,1,1,3,4,7,NA,12,NA,15,17,19,23,28,37
"209",209,"Noardeast-FryslĂÂ˘n",0,0,0,0,0,0,0,0,1,NA,1,NA,2,3,3,3,4,4
"210",210,"Noord-Beveland",0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,2,2,2,2
"211",211,"Noordenveld",0,0,0,0,0,1,1,1,1,NA,1,NA,1,1,1,3,3,3
"212",212,"Noordoostpolder",0,0,0,2,2,2,2,2,2,NA,3,NA,3,4,5,8,10,10
"213",213,"Noordwijk",2,2,2,2,2,2,2,2,3,NA,3,NA,6,6,7,8,10,15
"214",214,"Nuenen, Gerwen en Nederwetten",1,1,1,1,1,1,1,1,1,NA,1,NA,4,4,8,10,11,13
"215",215,"Nunspeet",0,0,1,1,1,2,2,3,3,NA,9,NA,17,22,29,31,39,43
"216",216,"Oegstgeest",2,2,2,4,4,4,4,4,5,NA,7,NA,7,8,9,9,12,13
"217",217,"Oirschot",0,0,0,0,0,1,1,1,1,NA,1,NA,3,4,6,8,10,11
"218",218,"Oisterwijk",4,5,6,6,6,9,10,10,10,NA,15,NA,16,16,18,21,23,24
"219",219,"Oldambt",0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,2
"220",220,"Oldebroek",0,1,1,1,1,2,2,5,5,NA,6,NA,7,8,12,16,19,22
"221",221,"Oldenzaal",0,0,0,1,1,1,1,2,3,NA,6,NA,6,8,13,15,17,18
"222",222,"Olst-Wijhe",0,0,0,0,0,0,0,0,0,NA,2,NA,2,4,6,6,6,6
"223",223,"Ommen",0,0,0,1,1,1,1,2,2,NA,4,NA,6,6,7,7,7,10
"224",224,"Oost Gelre",0,0,0,0,0,0,0,0,0,NA,2,NA,2,6,6,6,7,8
"225",225,"Oosterhout",0,0,3,4,5,6,8,9,9,NA,13,NA,22,23,26,29,31,36
"226",226,"Ooststellingwerf",0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1,1,1,1
"227",227,"Oostzaan",0,0,0,0,0,0,1,2,2,NA,3,NA,5,5,6,7,7,7
"228",228,"Opmeer",0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,2,2,2
"229",229,"Opsterland",2,2,2,2,2,2,2,2,2,NA,2,NA,3,3,4,5,6,6
"230",230,"Oss",2,3,3,4,5,11,14,20,26,NA,44,NA,65,73,81,100,128,141
"231",231,"Oude IJsselstreek",0,0,0,0,0,1,2,2,2,NA,4,NA,4,4,4,5,5,7
"232",232,"Ouder-Amstel",0,0,0,0,0,0,2,3,3,NA,4,NA,5,7,7,7,7,9
"233",233,"Oudewater",0,0,0,0,1,1,1,1,2,NA,3,NA,4,7,10,12,18,21
"234",234,"Overbetuwe",0,0,0,4,6,8,9,9,11,NA,20,NA,30,33,38,44,51,54
"235",235,"Papendrecht",0,0,0,0,0,0,0,0,1,NA,2,NA,5,5,6,6,6,7
"236",236,"Peel en Maas",3,4,8,10,14,19,31,36,41,NA,63,NA,69,79,88,96,107,119
"237",237,"Pekela",0,1,1,1,1,1,1,1,1,NA,2,NA,2,2,2,2,2,2
"238",238,"Pijnacker-Nootdorp",5,5,6,6,7,8,10,11,11,NA,11,NA,12,14,16,20,23,24
"239",239,"Purmerend",1,1,2,2,2,2,2,4,7,NA,14,NA,22,23,32,39,48,52
"240",240,"Putten",0,0,0,0,0,2,2,2,2,NA,3,NA,3,3,5,6,6,6
"241",241,"Raalte",0,1,1,1,1,2,3,3,3,NA,3,NA,5,6,10,12,13,15
"242",242,"Reimerswaal",0,1,1,1,1,2,2,3,4,NA,5,NA,5,6,7,7,7,7
"243",243,"Renkum",7,7,7,7,8,8,8,8,8,NA,9,NA,10,11,12,14,17,18
"244",244,"Renswoude",0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,1,1
"245",245,"Reusel-De Mierden",0,0,0,0,0,0,0,0,0,NA,0,NA,1,1,1,4,4,5
"246",246,"Rheden",1,1,1,1,1,1,2,3,4,NA,7,NA,12,15,18,21,27,30
"247",247,"Rhenen",0,0,0,0,0,0,0,0,0,NA,0,NA,1,1,1,2,5,6
"248",248,"Ridderkerk",1,1,1,1,1,1,1,1,1,NA,4,NA,5,7,9,13,19,27
"249",249,"Rijssen-Holten",0,0,0,0,0,0,0,0,0,NA,3,NA,4,4,9,13,13,17
"250",250,"Rijswijk",0,0,0,0,0,1,2,3,3,NA,4,NA,7,8,10,11,14,16
"251",251,"Roerdalen",0,0,0,0,0,0,0,1,1,NA,4,NA,7,10,10,11,13,14
"252",252,"Roermond",1,1,1,2,2,2,4,6,13,NA,18,NA,23,26,28,29,31,32
"253",253,"Roosendaal",1,1,2,2,5,6,6,6,7,NA,8,NA,16,18,20,24,25,25
"254",254,"Rotterdam",15,15,20,24,25,30,41,58,81,NA,120,NA,149,163,186,204,249,308
"255",255,"Rozendaal",0,0,0,0,1,1,1,2,2,NA,2,NA,2,2,2,2,2,2
"256",256,"Rucphen",0,0,0,0,1,1,1,1,2,NA,6,NA,6,6,6,6,10,10
"257",257,"SĂÂşdwest-FryslĂÂ˘n",0,0,0,0,0,0,4,5,6,NA,7,NA,7,10,11,12,124,0
"258",258,"Schagen",1,1,2,3,4,4,0,0,0,NA,0,NA,2,2,2,3,13,13
"259",259,"Scherpenzeel",0,0,0,0,0,0,1,1,2,NA,6,NA,8,10,14,16,4,5
"260",260,"Schiedam",0,0,0,0,1,1,0,0,0,NA,0,NA,0,0,0,0,19,22
"261",261,"Schiermonnikoog",0,0,0,0,0,0,2,2,2,NA,3,NA,3,3,6,8,0,0
"262",262,"Schouwen-Duiveland",2,2,2,2,2,2,4,5,5,NA,5,NA,5,7,8,10,9,9
"263",263,"Simpelveld",2,2,2,2,3,3,4,5,8,NA,12,NA,13,13,13,14,10,11
"264",264,"Sint Anthonis",0,0,0,2,2,3,8,10,10,NA,12,NA,14,17,18,22,18,21
"265",265,"Sint-Michielsgestel",5,5,5,6,6,8,42,51,51,NA,58,NA,61,84,86,94,28,29
"266",266,"Sittard-Geleen",20,20,23,35,37,38,1,1,1,NA,3,NA,3,4,5,7,98,102
"267",267,"Sliedrecht",0,0,0,0,0,0,2,2,2,NA,3,NA,4,5,5,6,6,6
"268",268,"Sluis",0,0,0,0,1,2,3,3,3,NA,3,NA,3,3,4,5,6,6
"269",269,"Smallingerland",1,1,1,2,3,3,11,12,13,NA,15,NA,16,20,21,23,5,7
"270",270,"Soest",8,8,8,8,8,10,2,3,3,NA,5,NA,7,7,10,15,28,28
"271",271,"Someren",0,0,0,1,1,1,4,4,5,NA,8,NA,10,13,15,19,19,22
"272",272,"Son en Breugel",1,1,2,2,2,4,0,0,0,NA,0,NA,0,0,0,1,20,22
"273",273,"Stadskanaal",0,0,0,0,0,0,1,1,2,NA,3,NA,4,4,4,4,1,1
"274",274,"Staphorst",0,0,0,1,1,1,1,1,3,NA,5,NA,8,9,13,17,5,5
"275",275,"Stede Broec",0,0,0,0,0,1,2,2,4,NA,5,NA,8,9,11,11,18,18
"276",276,"Steenbergen",0,0,0,0,1,2,1,1,1,NA,3,NA,4,5,6,8,14,14
"277",277,"Steenwijkerland",0,0,0,0,0,0,3,4,4,NA,5,NA,9,24,24,28,8,8
"278",278,"Stein",1,1,1,3,3,3,8,9,10,NA,10,NA,13,16,22,27,29,31
"279",279,"Stichtse Vecht",5,5,6,6,7,7,1,2,2,NA,4,NA,5,6,8,12,30,31
"280",280,"Terneuzen",0,0,0,1,1,1,2,3,4,NA,5,NA,6,6,10,14,16,17
"281",281,"Terschelling",0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0
"282",282,"Texel",0,0,0,0,0,0,0,0,2,NA,3,NA,3,3,3,3,3,3
"283",283,"Teylingen",0,0,0,0,0,1,2,2,2,NA,5,NA,7,7,8,10,11,11
"284",284,"Tholen",0,0,0,0,1,1,1,2,2,NA,7,NA,8,11,13,14,20,25
"285",285,"Tiel",1,2,2,2,3,4,4,4,4,NA,4,NA,6,8,14,20,23,27
"286",286,"Tilburg",42,50,67,68,68,84,88,95,119,NA,154,NA,193,211,224,230,254,284
"287",287,"Tubbergen",1,1,1,1,1,1,1,1,3,NA,3,NA,4,4,4,9,11,12
"288",288,"Twenterand",0,0,0,0,0,0,0,0,0,NA,1,NA,2,3,3,3,5,5
"289",289,"Tynaarlo",0,0,0,0,0,0,1,3,4,NA,7,NA,8,10,13,15,16,16
"290",290,"Tytsjerksteradiel",0,0,0,0,0,1,1,1,1,NA,1,NA,1,1,2,2,3,4
"291",291,"Uden",18,21,25,28,33,43,49,53,60,NA,76,NA,84,92,94,107,123,130
"292",292,"Uitgeest",0,0,0,0,0,0,0,0,0,NA,2,NA,4,4,4,4,7,7
"293",293,"Uithoorn",0,0,0,0,0,0,0,1,2,NA,2,NA,2,4,5,7,11,16
"294",294,"Urk",0,0,0,0,0,0,0,1,4,NA,6,NA,7,7,7,8,9,10
"295",295,"Utrecht",18,25,26,30,38,48,60,69,83,NA,121,NA,145,160,191,215,243,265
"296",296,"Utrechtse Heuvelrug",2,2,2,2,2,3,5,6,8,NA,8,NA,14,14,15,17,22,25
"297",297,"Vaals",0,0,0,0,0,0,0,0,0,NA,0,NA,0,3,4,6,6,6
"298",298,"Valkenburg aan de Geul",0,0,0,0,0,1,2,2,2,NA,4,NA,4,8,9,10,11,12
"299",299,"Valkenswaard",0,0,0,0,0,0,0,1,1,NA,4,NA,5,8,9,17,20,26
"300",300,"Veendam",0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1,1,1,2
"301",301,"Veenendaal",0,1,1,1,1,1,1,1,2,NA,2,NA,6,6,7,7,13,14
"302",302,"Veere",1,1,1,1,1,1,1,1,1,NA,5,NA,6,6,6,7,8,9
"303",303,"Veldhoven",1,1,1,1,1,1,1,1,2,NA,9,NA,11,14,18,22,22,24
"304",304,"Velsen",0,1,1,1,1,4,4,4,4,NA,8,NA,11,15,15,23,25,31
"305",305,"Venlo",1,2,2,3,4,6,8,12,21,NA,33,NA,35,40,47,54,67,71
"306",306,"Venray",0,0,0,0,0,0,0,1,3,NA,8,NA,10,13,17,20,21,26
"307",307,"Vijfheerenlanden",1,1,2,2,2,3,4,4,7,NA,9,NA,12,18,21,24,24,27
"308",308,"Vlaardingen",0,1,1,1,1,1,2,2,4,NA,12,NA,15,18,22,24,28,30
"309",309,"Vlieland",0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0
"310",310,"Vlissingen",0,2,2,2,2,3,4,4,5,NA,6,NA,8,8,8,8,8,10
"311",311,"Voerendaal",0,0,0,0,0,0,1,3,3,NA,4,NA,4,5,6,7,7,8
"312",312,"Voorschoten",0,0,0,0,0,0,0,1,1,NA,2,NA,3,3,5,6,6,7
"313",313,"Voorst",1,1,1,1,1,1,1,1,1,NA,2,NA,2,3,6,10,13,15
"314",314,"Vught",1,2,2,2,2,3,6,7,8,NA,11,NA,17,19,22,25,29,31
"315",315,"Waadhoeke",0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,2,3,3
"316",316,"Waalre",1,1,1,1,1,1,1,2,2,NA,2,NA,2,3,2,6,6,6
"317",317,"Waalwijk",6,6,9,8,8,10,11,12,13,NA,16,NA,24,29,34,39,46,54
"318",318,"Waddinxveen",1,1,1,1,1,1,1,1,3,NA,4,NA,4,4,5,6,7,8
"319",319,"Wageningen",0,0,0,0,0,0,1,1,1,NA,3,NA,3,3,3,4,5,7
"320",320,"Wassenaar",0,0,1,2,2,3,3,3,4,NA,5,NA,5,5,5,6,6,6
"321",321,"Waterland",1,1,1,1,2,3,3,4,7,NA,8,NA,9,10,11,11,11,11
"322",322,"Weert",0,0,0,0,0,0,0,0,0,NA,7,NA,12,17,24,28,27,36
"323",323,"Weesp",0,0,0,0,0,0,0,0,0,NA,1,NA,1,2,6,7,8,10
"324",324,"West Betuwe",2,2,3,3,3,3,6,6,8,NA,12,NA,15,17,19,22,24,34
"325",325,"West Maas en Waal",1,2,2,2,3,3,3,3,3,NA,4,NA,7,8,11,13,13,15
"326",326,"Westerkwartier",0,0,0,0,1,1,1,1,3,NA,3,NA,8,8,9,12,15,16
"327",327,"Westerveld",0,0,0,0,0,0,0,0,0,NA,1,NA,2,2,2,2,3,4
"328",328,"Westervoort",0,0,0,0,0,0,0,0,0,NA,1,NA,2,2,2,2,2,4
"329",329,"Westerwolde",0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,3,3,3,3
"330",330,"Westland",0,0,0,0,1,1,3,6,7,NA,11,NA,21,25,28,30,38,45
"331",331,"Weststellingwerf",0,0,0,0,0,0,0,0,0,NA,1,NA,1,1,1,2,2,2
"332",332,"Westvoorne",1,1,1,2,3,3,3,3,3,NA,3,NA,7,8,8,8,9,11
"333",333,"Wierden",0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1,2,4,7
"334",334,"Wijchen",1,2,3,2,4,5,6,8,8,NA,17,NA,21,23,24,30,30,35
"335",335,"Wijdemeren",0,0,0,0,0,0,0,1,1,NA,1,NA,1,1,3,4,4,5
"336",336,"Wijk bij Duurstede",1,2,2,3,3,3,4,4,4,NA,6,NA,6,6,6,7,7,9
"337",337,"Winterswijk",0,0,0,0,0,0,0,0,0,NA,1,NA,2,2,2,2,3,3
"338",338,"Woensdrecht",0,0,0,0,0,0,0,0,0,NA,0,NA,3,4,5,5,5,6
"339",339,"Woerden",2,2,2,2,2,2,3,4,4,NA,6,NA,14,19,22,25,25,34
"340",340,"Wormerland",0,0,0,0,0,0,0,0,1,NA,1,NA,2,2,3,5,6,7
"341",341,"Woudenberg",1,1,1,1,1,1,1,2,2,NA,3,NA,4,4,6,7,6,6
"342",342,"Zaanstad",2,2,2,2,2,2,2,2,4,NA,9,NA,19,20,29,31,46,50
"343",343,"Zaltbommel",1,1,1,1,1,1,3,3,3,NA,5,NA,7,7,7,7,9,13
"344",344,"Zandvoort",0,0,0,1,1,1,1,1,1,NA,2,NA,3,6,6,6,6,7
"345",345,"Zeewolde",1,1,1,1,2,2,2,3,3,NA,4,NA,4,4,5,6,7,7
"346",346,"Zeist",3,4,4,4,6,8,12,12,12,NA,17,NA,19,20,25,28,34,40
"347",347,"Zevenaar",0,0,0,0,0,0,0,2,3,NA,6,NA,9,10,10,10,12,15
"348",348,"Zoetermeer",0,0,0,0,0,0,0,1,1,NA,4,NA,7,8,13,14,17,21
"349",349,"Zoeterwoude",0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,1,1,2,2
"350",350,"Zuidplas",0,0,0,0,0,0,0,0,0,NA,1,NA,3,3,6,10,11,15
"351",351,"Zundert",2,2,3,3,3,3,4,6,6,NA,7,NA,9,11,14,15,17,23
"352",352,"Zutphen",0,0,0,0,0,0,1,1,1,NA,4,NA,6,6,8,8,10,11
"353",353,"Zwartewaterland",0,0,2,2,2,2,4,4,5,NA,15,NA,19,22,30,33,36,38
"354",354,"Zwijndrecht",0,0,0,2,3,3,4,5,6,NA,6,NA,6,8,9,11,13,13
"355",355,"Zwolle",2,2,2,3,4,6,8,12,16,NA,23,NA,35,40,47,56,63,68
